dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag,Affiliated_base_number
B02764,2021-06-01 00:02:41,2021-06-01 00:07:46,174,18,N,B02764
B02764,2021-06-01 00:16:16,2021-06-01 00:21:14,32,254,N,B02764
B02764,2021-06-01 00:27:01,2021-06-01 00:42:11,240,127,N,B02764
B02764,2021-06-01 00:46:08,2021-06-01 00:53:45,127,235,N,B02764
B02510,2021-06-01 00:45:42,2021-06-01 01:03:33,144,146,N,
B02510,2021-06-01 00:18:15,2021-06-01 00:25:47,49,17,N,
B02510,2021-06-01 00:33:06,2021-06-01 00:42:46,49,225,N,
B02510,2021-06-01 00:46:27,2021-06-01 00:56:50,225,177,N,
B02764,2021-06-01 00:48:06,2021-06-01 01:04:10,209,45,N,B02764
B02875,2021-06-01 00:18:54,2021-06-01 00:26:14,80,256,N,B02875
B02875,2021-06-01 00:31:02,2021-06-01 00:36:39,217,17,N,B02875
B02875,2021-06-01 00:41:53,2021-06-01 01:07:32,17,265,N,B02875
B02875,2021-06-01 00:29:52,2021-06-01 00:54:41,210,76,N,B02875
B02510,2021-06-01 00:15:57,2021-06-01 00:39:36,226,213,N,
B02510,2021-06-01 00:11:59,2021-06-01 00:23:32,191,9,N,
B02510,2021-06-01 00:30:35,2021-06-01 00:45:35,16,250,N,
B02510,2021-06-01 00:49:01,2021-06-01 01:03:50,182,259,N,
B02510,2021-06-01 00:07:36,2021-06-01 00:21:13,188,72,N,
B02510,2021-06-01 00:25:48,2021-06-01 00:40:43,39,72,N,
B02510,2021-06-01 00:46:11,2021-06-01 00:53:39,72,35,N,
B02884,2021-06-01 00:07:30,2021-06-01 00:17:24,76,218,N,B02884
B02884,2021-06-01 00:20:52,2021-06-01 00:22:35,218,218,N,B02884
B02884,2021-06-01 00:27:01,2021-06-01 00:34:35,10,219,N,B02884
B02884,2021-06-01 00:42:01,2021-06-01 00:53:17,139,10,N,B02884
B02764,2021-06-01 00:06:11,2021-06-01 00:16:28,254,81,N,B02764
B02764,2021-06-01 00:19:21,2021-06-01 00:32:06,51,47,N,B02764
B02764,2021-06-01 00:34:32,2021-06-01 00:50:57,20,51,N,B02764
B02617,2021-06-01 00:05:04,2021-06-01 00:19:19,78,254,N,B02617
B02617,2021-06-01 00:21:48,2021-06-01 00:25:42,254,174,N,B02617
B02617,2021-06-01 00:42:51,2021-06-01 00:51:41,248,47,N,B02617
B02617,2021-06-01 00:59:15,2021-06-01 01:10:14,243,42,N,B02617
B02875,2021-06-01 00:01:56,2021-06-01 00:08:30,237,262,N,B02875
B02875,2021-06-01 00:16:45,2021-06-01 00:31:01,140,162,N,B02875
B02872,2021-06-01 00:42:28,2021-06-01 00:54:14,246,48,N,B02872
B02872,2021-06-01 00:59:45,2021-06-01 01:24:12,68,14,N,B02872
B02510,2021-06-01 00:15:17,2021-06-01 00:23:00,7,7,N,
B02764,2021-06-01 00:25:41,2021-06-01 00:39:06,25,90,N,B02764
B02764,2021-06-01 00:42:12,2021-06-01 00:50:28,186,48,N,B02764
B02764,2021-06-01 00:55:08,2021-06-01 01:21:08,100,10,N,B02764
B02764,2021-06-01 00:13:17,2021-06-01 00:25:56,94,185,N,B02764
B02764,2021-06-01 00:29:54,2021-06-01 00:38:37,185,208,N,B02764
B02764,2021-06-01 00:46:49,2021-06-01 01:00:57,213,32,N,B02764
